epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4459,0.94732,3.46566,0.93654,0.01023,1,0.06705,0.05504,0.6427,3.59129,0.80474,0.0001667,0.0001667,0.0001667
2,6.56505,0.93188,2.65041,0.87617,0.0103,1,0.067,0.04974,0.64213,3.59648,0.79827,0.000338518,0.000338518,0.000338518
3,9.3287,0.84195,1.85084,0.85062,0.00891,1,0.23689,0.19499,0.66567,3.32674,0.80297,0.000498233,0.000498233,0.000498233
4,12.1882,0.8519,1.20229,0.85793,0.00809,1,0.44203,0.3665,0.63426,3.14132,0.81482,0.000645846,0.000645846,0.000645846
5,15.0006,0.83157,0.89824,0.85929,1,0.18885,0.78912,0.57295,0.77786,2.93961,0.83374,0.000781356,0.000781356,0.000781356
6,17.8258,0.82149,0.80642,0.87439,0.00742,1,0.995,0.82549,0.68547,2.5943,0.83272,0.000904764,0.000904764,0.000904764
7,20.6584,0.79641,0.79221,0.8736,1,0.35363,0.99397,0.85293,0.57584,2.3045,0.82052,0.00101607,0.00101607,0.00101607
8,23.6592,0.73221,0.72833,0.87229,0.99558,0.95936,0.995,0.851,0.57655,1.68732,0.82304,0.00111527,0.00111527,0.00111527
9,26.5764,0.79715,0.73792,0.87418,0.98405,1,0.995,0.85739,0.56275,1.27973,0.82254,0.00120237,0.00120237,0.00120237
10,29.5377,0.74389,0.69254,0.8637,0.97893,1,0.995,0.85508,0.60637,1.20651,0.8302,0.0011719,0.0011719,0.0011719
11,32.6863,0.73152,0.68155,0.8862,0.9946,1,0.995,0.85125,0.69018,0.80717,0.85312,0.00111689,0.00111689,0.00111689
12,35.4053,0.67617,0.636,0.86421,0.99136,1,0.995,0.86974,0.55611,0.72045,0.81155,0.00106188,0.00106188,0.00106188
13,38.2896,0.70013,0.63162,0.85853,0.99546,1,0.995,0.87679,0.50112,0.60768,0.80603,0.00100687,0.00100687,0.00100687
14,41.3012,0.66107,0.60395,0.8433,0.99523,0.99577,0.995,0.87993,0.51633,0.55652,0.80976,0.000951857,0.000951857,0.000951857
15,44.4326,0.62831,0.58881,0.85836,0.96754,1,0.995,0.86297,0.52142,0.52266,0.80574,0.000896846,0.000896846,0.000896846
16,47.1977,0.65682,0.55728,0.8554,0.98529,1,0.995,0.87267,0.48321,0.49478,0.79959,0.000841835,0.000841835,0.000841835
17,50.0864,0.65868,0.59436,0.84541,0.99284,1,0.995,0.86736,0.48955,0.46023,0.80648,0.000786824,0.000786824,0.000786824
18,53.17,0.638,0.54858,0.84822,0.99473,1,0.995,0.88554,0.51443,0.50687,0.81097,0.000731813,0.000731813,0.000731813
19,56.0485,0.60155,0.54196,0.84293,0.9901,1,0.995,0.88086,0.56196,0.50194,0.8136,0.000676802,0.000676802,0.000676802
20,58.7494,0.59068,0.56634,0.84664,0.99317,1,0.995,0.89549,0.54902,0.50932,0.81547,0.000621791,0.000621791,0.000621791
21,61.764,0.55408,0.59215,0.82174,0.98974,1,0.995,0.86406,0.61252,0.57374,0.83181,0.00056678,0.00056678,0.00056678
22,64.4813,0.54499,0.57886,0.8283,0.99293,1,0.995,0.89219,0.47761,0.56928,0.80013,0.000511769,0.000511769,0.000511769
23,67.5819,0.5397,0.52845,0.83172,0.99473,1,0.995,0.87712,0.49451,0.46027,0.81035,0.000456758,0.000456758,0.000456758
24,70.554,0.52114,0.4811,0.82524,0.9975,1,0.995,0.88863,0.44958,0.40099,0.79481,0.000401747,0.000401747,0.000401747
25,73.4103,0.5121,0.47541,0.8121,0.99711,1,0.995,0.8998,0.4381,0.39435,0.79541,0.000346736,0.000346736,0.000346736
26,76.4845,0.54048,0.48059,0.83,0.99638,1,0.995,0.88044,0.43104,0.40788,0.7973,0.000291725,0.000291725,0.000291725
27,79.3807,0.48202,0.46971,0.82354,0.99715,1,0.995,0.89032,0.4325,0.40778,0.79484,0.000236714,0.000236714,0.000236714
28,82.0888,0.51423,0.47126,0.80589,0.99725,1,0.995,0.89622,0.43803,0.40687,0.79645,0.000181703,0.000181703,0.000181703
29,84.8496,0.50307,0.46018,0.79621,0.99736,1,0.995,0.8953,0.42716,0.3894,0.79462,0.000126692,0.000126692,0.000126692
30,87.6923,0.48832,0.44746,0.80571,0.99753,1,0.995,0.90553,0.41046,0.3831,0.79104,7.1681e-05,7.1681e-05,7.1681e-05
